JournalID,Period,PostingDate,Department,Region,AccountCode,AccountName,AmountSGD,DrCr,Source,Status
JE-2026-00001,2026-01,2026-01-31,Retail Banking,Singapore,4000,Interest Income,778911.86,Cr,Billing,Posted
JE-2026-00002,2026-01,2026-01-31,Retail Banking,Singapore,4100,Fee and Commission Income,385865.95,Cr,Billing,Posted
JE-2026-00003,2026-01,2026-01-31,Retail Banking,Singapore,4200,Transaction Revenue,245586.72,Cr,Billing,Posted
JE-2026-00004,2026-01,2026-01-31,Retail Banking,Singapore,5000,Cost of Service Delivery,-402281.27,Dr,ERP,Posted
JE-2026-00005,2026-01,2026-01-31,Retail Banking,Singapore,6100,Marketing and Acquisition,-121835.14,Dr,ERP,Posted
JE-2026-00006,2026-01,2026-01-31,Retail Banking,Singapore,6200,Technology and Cloud,-159661.89,Dr,ERP,Posted
JE-2026-00007,2026-01,2026-01-31,Retail Banking,Singapore,6300,People Cost,-353470.13,Dr,ERP,Posted
JE-2026-00008,2026-01,2026-01-31,Retail Banking,Singapore,6400,Premises and Admin,-76164.73,Dr,ERP,Posted
JE-2026-00009,2026-01,2026-01-31,Retail Banking,Singapore,6500,Compliance and Risk,-55596.5,Dr,ERP,Posted
JE-2026-00010,2026-01,2026-01-31,Retail Banking,Singapore,7000,Credit Loss Provision,-43241.89,Dr,ERP,Posted
JE-2026-00011,2026-01,2026-01-31,SME Lending,Malaysia,4000,Interest Income,581577.74,Cr,Billing,Posted
JE-2026-00012,2026-01,2026-01-31,SME Lending,Malaysia,4100,Fee and Commission Income,295598.3,Cr,Billing,Posted
JE-2026-00013,2026-01,2026-01-31,SME Lending,Malaysia,4200,Transaction Revenue,178856.38,Cr,Billing,Posted
JE-2026-00014,2026-01,2026-01-31,SME Lending,Malaysia,5000,Cost of Service Delivery,-283986.23,Dr,ERP,Posted
JE-2026-00015,2026-01,2026-01-31,SME Lending,Malaysia,6100,Marketing and Acquisition,-88180.42,Dr,ERP,Posted
JE-2026-00016,2026-01,2026-01-31,SME Lending,Malaysia,6200,Technology and Cloud,-112968.36,Dr,ERP,Posted
JE-2026-00017,2026-01,2026-01-31,SME Lending,Malaysia,6300,People Cost,-255131.37,Dr,ERP,Posted
JE-2026-00018,2026-01,2026-01-31,SME Lending,Malaysia,6400,Premises and Admin,-54896.83,Dr,ERP,Posted
JE-2026-00019,2026-01,2026-01-31,SME Lending,Malaysia,6500,Compliance and Risk,-39759.49,Dr,ERP,Posted
JE-2026-00020,2026-01,2026-01-31,SME Lending,Malaysia,7000,Credit Loss Provision,-32385.02,Dr,ERP,Posted
JE-2026-00021,2026-01,2026-01-31,Enterprise,Singapore,4000,Interest Income,906737.36,Cr,Billing,Posted
JE-2026-00022,2026-01,2026-01-31,Enterprise,Singapore,4100,Fee and Commission Income,469083.76,Cr,Billing,Posted
JE-2026-00023,2026-01,2026-01-31,Enterprise,Singapore,4200,Transaction Revenue,279197.34,Cr,Billing,Posted
JE-2026-00024,2026-01,2026-01-31,Enterprise,Singapore,5000,Cost of Service Delivery,-468708.17,Dr,ERP,Posted
JE-2026-00025,2026-01,2026-01-31,Enterprise,Singapore,6100,Marketing and Acquisition,-143460.83,Dr,ERP,Posted
JE-2026-00026,2026-01,2026-01-31,Enterprise,Singapore,6200,Technology and Cloud,-177810.17,Dr,ERP,Posted
JE-2026-00027,2026-01,2026-01-31,Enterprise,Singapore,6300,People Cost,-385743.74,Dr,ERP,Posted
