OpportunityID,CustomerID,CustomerName,Department,Region,Stage,DealValueSGD,ProbabilityPct,WeightedValueSGD,CreatedDate,ExpectedCloseDate,Owner
OPP-0001,CUST-001,Marina Bay Logistics,Enterprise,Singapore,Closed Lost,471910.05,0,0.0,2026-05-24,2026-07-26,E. Chen
OPP-0002,CUST-003,Penang Textiles Sdn Bhd,SME Lending,Malaysia,Proposal,198134.82,45,89160.67,2026-01-15,2026-06-05,C. Wong
OPP-0003,CUST-005,Kowloon Digital Ltd,Digital Payments,Hong Kong,Closed Won,353357.82,100,353357.82,2026-03-11,2026-04-22,A. Tan
OPP-0004,CUST-006,Sydney Freight Co,Enterprise,Australia,Closed Won,644172.69,100,644172.69,2026-04-19,2026-09-07,B. Lim
OPP-0005,CUST-005,Kowloon Digital Ltd,Digital Payments,Hong Kong,Closed Won,604077.9,100,604077.9,2026-06-18,2026-07-19,A. Tan
OPP-0006,CUST-010,Victoria Payments Pty,Digital Payments,Australia,Qualification,537729.26,20,107545.85,2026-01-02,2026-02-22,E. Chen
OPP-0007,CUST-003,Penang Textiles Sdn Bhd,SME Lending,Malaysia,Proposal,457334.53,45,205800.54,2026-05-04,2026-07-29,B. Lim
OPP-0008,CUST-006,Sydney Freight Co,Enterprise,Australia,Negotiation,465147.8,70,325603.46,2026-03-03,2026-06-15,B. Lim
OPP-0009,CUST-011,Tampines Medical Group,Enterprise,Singapore,Negotiation,422643.8,70,295850.66,2026-04-21,2026-09-13,A. Tan
OPP-0010,CUST-006,Sydney Freight Co,Enterprise,Australia,Closed Won,719003.82,100,719003.82,2026-05-06,2026-06-18,E. Chen
OPP-0011,CUST-008,Johor Agri Holdings,SME Lending,Malaysia,Closed Won,365123.27,100,365123.27,2026-05-18,2026-10-07,C. Wong
OPP-0012,CUST-011,Tampines Medical Group,Enterprise,Singapore,Closed Won,155472.05,100,155472.05,2026-03-07,2026-07-07,E. Chen
OPP-0013,CUST-004,Harbourfront Retail Group,Retail Banking,Singapore,Negotiation,372257.69,70,260580.38,2026-02-14,2026-06-13,B. Lim
OPP-0014,CUST-007,Jurong Manufacturing,Enterprise,Singapore,Proposal,413357.66,45,186010.95,2026-06-19,2026-08-06,B. Lim
OPP-0015,CUST-003,Penang Textiles Sdn Bhd,SME Lending,Malaysia,Negotiation,134875.98,70,94413.19,2026-05-25,2026-10-15,D. Rahman
OPP-0016,CUST-003,Penang Textiles Sdn Bhd,SME Lending,Malaysia,Closed Lost,204764.19,0,0.0,2026-04-04,2026-06-10,B. Lim
OPP-0017,CUST-004,Harbourfront Retail Group,Retail Banking,Singapore,Negotiation,89646.21,70,62752.35,2026-04-25,2026-08-15,A. Tan
OPP-0018,CUST-004,Harbourfront Retail Group,Retail Banking,Singapore,Negotiation,323458.19,70,226420.73,2026-01-14,2026-03-15,D. Rahman
OPP-0019,CUST-004,Harbourfront Retail Group,Retail Banking,Singapore,Proposal,219812.62,45,98915.68,2026-02-02,2026-03-21,C. Wong
OPP-0020,CUST-010,Victoria Payments Pty,Digital Payments,Australia,Closed Won,278459.79,100,278459.79,2026-04-22,2026-09-17,E. Chen
OPP-0021,CUST-001,Marina Bay Logistics,Enterprise,Singapore,Qualification,108563.97,20,21712.79,2026-03-12,2026-07-15,E. Chen
OPP-0022,CUST-008,Johor Agri Holdings,SME Lending,Malaysia,Closed Won,596992.6,100,596992.6,2026-01-17,2026-05-08,B. Lim
OPP-0023,CUST-005,Kowloon Digital Ltd,Digital Payments,Hong Kong,Proposal,365902.3,45,164656.04,2026-03-26,2026-08-18,B. Lim
OPP-0024,CUST-006,Sydney Freight Co,Enterprise,Australia,Negotiation,719804.56,70,503863.19,2026-06-15,2026-10-21,B. Lim
OPP-0025,CUST-010,Victoria Payments Pty,Digital Payments,Australia,Proposal,46571.8,45,20957.31,2026-06-11,2026-09-14,A. Tan
OPP-0026,CUST-004,Harbourfront Retail Group,Retail Banking,Singapore,Closed Won,387523.41,100,387523.41,2026-03-15,2026-05-12,C. Wong
OPP-0027,CUST-001,Marina Bay Logistics,Enterprise,Singapore,Closed Won,409661.5,100,409661.5,2026-02-17,2026-05-09,C. Wong
OPP-0028,CUST-002,Kallang Foods Pte Ltd,SME Lending,Singapore,Qualification,328245.43,20,65649.09,2026-02-12,2026-05-04,E. Chen
OPP-0029,CUST-007,Jurong Manufacturing,Enterprise,Singapore,Qualification,603563.14,20,120712.63,2026-03-13,2026-05-31,A. Tan
OPP-0030,CUST-010,Victoria Payments Pty,Digital Payments,Australia,Closed Lost,53025.87,0,0.0,2026-03-24,2026-07-14,E. Chen
OPP-0031,CUST-005,Kowloon Digital Ltd,Digital Payments,Hong Kong,Proposal,327830.05,45,147523.52,2026-05-21,2026-09-14,E. Chen
OPP-0032,CUST-001,Marina Bay Logistics,Enterprise,Singapore,Closed Won,137396.82,100,137396.82,2026-06-01,2026-07-14,E. Chen
OPP-0033,CUST-012,Melaka Shipping,SME Lending,Malaysia,Qualification,84365.78,20,16873.16,2026-06-08,2026-08-24,B. Lim
