Period,Department,AccountCode,AccountName,AccountType,ActualSGD,BudgetSGD,VarianceSGD,VariancePct
2026-01,Digital Payments,4000,Interest Income,Revenue,346016.39,311617.19,34399.2,11.04
2026-01,Digital Payments,4100,Fee and Commission Income,Revenue,176057.06,168293.1,7763.96,4.61
2026-01,Digital Payments,4200,Transaction Revenue,Revenue,107950.83,106368.11,1582.72,1.49
2026-01,Digital Payments,5000,Cost of Service Delivery,COGS,-168074.28,-159160.94,-8913.34,-5.6
2026-01,Digital Payments,6100,Marketing and Acquisition,Opex,-60153.21,-67090.59,6937.38,10.34
2026-01,Digital Payments,6200,Technology and Cloud,Opex,-68606.83,-66831.34,-1775.49,-2.66
2026-01,Digital Payments,6300,People Cost,Opex,-152662.27,-166902.45,14240.18,8.53
2026-01,Digital Payments,6400,Premises and Admin,Opex,-30516.88,-27571.89,-2944.99,-10.68
2026-01,Digital Payments,6500,Compliance and Risk,Opex,-25455.29,-27967.31,2512.02,8.98
2026-01,Digital Payments,7000,Credit Loss Provision,Provision,-19503.27,-20452.38,949.11,4.64
2026-01,Enterprise,4000,Interest Income,Revenue,906737.36,909603.18,-2865.82,-0.32
2026-01,Enterprise,4100,Fee and Commission Income,Revenue,469083.76,464201.85,4881.91,1.05
2026-01,Enterprise,4200,Transaction Revenue,Revenue,279197.34,256265.06,22932.28,8.95
2026-01,Enterprise,5000,Cost of Service Delivery,COGS,-468708.17,-479913.41,11205.24,2.33
2026-01,Enterprise,6100,Marketing and Acquisition,Opex,-143460.83,-141614.68,-1846.15,-1.3
2026-01,Enterprise,6200,Technology and Cloud,Opex,-177810.17,-193777.49,15967.32,8.24
2026-01,Enterprise,6300,People Cost,Opex,-385743.74,-399813.86,14070.12,3.52
2026-01,Enterprise,6400,Premises and Admin,Opex,-82011.04,-89494.34,7483.3,8.36
2026-01,Enterprise,6500,Compliance and Risk,Opex,-69733.75,-77879.55,8145.8,10.46
2026-01,Enterprise,7000,Credit Loss Provision,Provision,-48192.8,-46837.65,-1355.15,-2.89
2026-01,Retail Banking,4000,Interest Income,Revenue,778911.86,825468.38,-46556.52,-5.64
2026-01,Retail Banking,4100,Fee and Commission Income,Revenue,385865.95,353997.27,31868.68,9.0
2026-01,Retail Banking,4200,Transaction Revenue,Revenue,245586.72,254507.18,-8920.46,-3.5
2026-01,Retail Banking,5000,Cost of Service Delivery,COGS,-402281.27,-411497.68,9216.41,2.24
2026-01,Retail Banking,6100,Marketing and Acquisition,Opex,-121835.14,-129333.24,7498.1,5.8
2026-01,Retail Banking,6200,Technology and Cloud,Opex,-159661.89,-166204.29,6542.4,3.94
2026-01,Retail Banking,6300,People Cost,Opex,-353470.13,-343597.49,-9872.64,-2.87
2026-01,Retail Banking,6400,Premises and Admin,Opex,-76164.73,-73286.34,-2878.39,-3.93
2026-01,Retail Banking,6500,Compliance and Risk,Opex,-55596.5,-55478.52,-117.98,-0.21
2026-01,Retail Banking,7000,Credit Loss Provision,Provision,-43241.89,-43078.97,-162.92,-0.38
