InvoiceID,CustomerID,CustomerName,Department,InvoiceDate,PaymentTermsDays,DueDate,InvoiceAmountSGD,AmountPaidSGD,OutstandingSGD,DaysOverdue,AgeingBucket,CollectionStatus,AsOfDate
INV-2026-0001,CUST-005,Kowloon Digital Ltd,Digital Payments,2026-04-22,30,2026-05-22,353357.82,0.0,353357.82,39,31-60 days,Follow-up,2026-06-30
INV-2026-0002,CUST-006,Sydney Freight Co,Enterprise,2026-03-26,30,2026-04-25,644172.69,0.0,644172.69,66,61-90 days,Escalated,2026-06-30
INV-2026-0003,CUST-005,Kowloon Digital Ltd,Digital Payments,2026-03-13,45,2026-04-27,604077.9,0.0,604077.9,64,61-90 days,Escalated,2026-06-30
INV-2026-0004,CUST-006,Sydney Freight Co,Enterprise,2026-06-18,45,2026-08-02,719003.82,719003.82,0.0,0,Current,Paid,2026-06-30
INV-2026-0005,CUST-008,Johor Agri Holdings,SME Lending,2026-04-06,30,2026-05-06,365123.27,0.0,365123.27,55,31-60 days,Follow-up,2026-06-30
INV-2026-0006,CUST-011,Tampines Medical Group,Enterprise,2026-04-19,60,2026-06-18,155472.05,0.0,155472.05,12,1-30 days,Follow-up,2026-06-30
INV-2026-0007,CUST-010,Victoria Payments Pty,Digital Payments,2026-03-07,60,2026-05-06,278459.79,0.0,278459.79,55,31-60 days,Follow-up,2026-06-30
INV-2026-0008,CUST-008,Johor Agri Holdings,SME Lending,2026-05-08,45,2026-06-22,596992.6,0.0,596992.6,8,1-30 days,Follow-up,2026-06-30
INV-2026-0009,CUST-004,Harbourfront Retail Group,Retail Banking,2026-05-12,30,2026-06-11,387523.41,0.0,387523.41,19,1-30 days,Follow-up,2026-06-30
INV-2026-0010,CUST-001,Marina Bay Logistics,Enterprise,2026-05-09,45,2026-06-23,409661.5,0.0,409661.5,7,1-30 days,Follow-up,2026-06-30
INV-2026-0011,CUST-001,Marina Bay Logistics,Enterprise,2026-05-22,30,2026-06-21,137396.82,0.0,137396.82,9,1-30 days,Follow-up,2026-06-30
INV-2026-0012,CUST-006,Sydney Freight Co,Enterprise,2026-06-24,60,2026-08-23,267272.97,0.0,267272.97,0,Current,Not due,2026-06-30
INV-2026-0013,CUST-008,Johor Agri Holdings,SME Lending,2026-04-05,30,2026-05-05,322700.8,0.0,322700.8,56,31-60 days,Follow-up,2026-06-30
INV-2026-0014,CUST-011,Tampines Medical Group,Enterprise,2026-06-13,30,2026-07-13,120618.6,120618.6,0.0,0,Current,Paid,2026-06-30
INV-2026-0015,CUST-003,Penang Textiles Sdn Bhd,SME Lending,2026-03-20,60,2026-05-19,269010.37,0.0,269010.37,42,31-60 days,Follow-up,2026-06-30
INV-2026-0016,CUST-009,Orchard Lifestyle Retail,Retail Banking,2026-03-26,30,2026-04-25,520474.97,0.0,520474.97,66,61-90 days,Escalated,2026-06-30
INV-2026-0017,CUST-012,Melaka Shipping,SME Lending,2026-05-12,60,2026-07-11,578523.33,0.0,578523.33,0,Current,Not due,2026-06-30
INV-2026-0018,CUST-010,Victoria Payments Pty,Digital Payments,2026-04-06,60,2026-06-05,408865.53,0.0,408865.53,25,1-30 days,Follow-up,2026-06-30
INV-2026-0019,CUST-010,Victoria Payments Pty,Digital Payments,2026-05-31,60,2026-07-30,612252.14,612252.14,0.0,0,Current,Paid,2026-06-30
INV-2026-0020,CUST-011,Tampines Medical Group,Enterprise,2026-04-19,30,2026-05-19,461775.09,0.0,461775.09,42,31-60 days,Follow-up,2026-06-30
INV-2026-0021,CUST-002,Kallang Foods Pte Ltd,SME Lending,2026-06-25,30,2026-07-25,572358.82,0.0,572358.82,0,Current,Not due,2026-06-30
INV-2026-0022,CUST-001,Marina Bay Logistics,Enterprise,2026-06-12,45,2026-07-27,270735.55,270735.55,0.0,0,Current,Paid,2026-06-30
INV-2026-0023,CUST-010,Victoria Payments Pty,Digital Payments,2026-05-24,60,2026-07-23,289901.12,289901.12,0.0,0,Current,Paid,2026-06-30
INV-2026-0024,CUST-011,Tampines Medical Group,Enterprise,2026-05-20,60,2026-07-19,571763.24,571763.24,0.0,0,Current,Paid,2026-06-30
INV-2026-0025,CUST-011,Tampines Medical Group,Enterprise,2026-06-08,60,2026-08-07,124277.53,0.0,124277.53,0,Current,Not due,2026-06-30
INV-2026-0026,CUST-009,Orchard Lifestyle Retail,Retail Banking,2026-06-19,45,2026-08-03,355535.81,355535.81,0.0,0,Current,Paid,2026-06-30
INV-2026-0027,CUST-010,Victoria Payments Pty,Digital Payments,2026-06-22,45,2026-08-06,361321.14,361321.14,0.0,0,Current,Paid,2026-06-30
INV-2026-0028,CUST-003,Penang Textiles Sdn Bhd,SME Lending,2026-04-25,60,2026-06-24,702312.95,0.0,702312.95,6,1-30 days,Follow-up,2026-06-30
INV-2026-0029,CUST-001,Marina Bay Logistics,Enterprise,2026-04-30,30,2026-05-30,224101.41,0.0,224101.41,31,31-60 days,Follow-up,2026-06-30
INV-2026-0030,CUST-012,Melaka Shipping,SME Lending,2026-06-10,45,2026-07-25,166254.45,166254.45,0.0,0,Current,Paid,2026-06-30
INV-2026-0031,CUST-003,Penang Textiles Sdn Bhd,SME Lending,2026-04-27,30,2026-05-27,580779.49,0.0,580779.49,34,31-60 days,Follow-up,2026-06-30
INV-2026-0032,CUST-004,Harbourfront Retail Group,Retail Banking,2026-06-12,30,2026-07-12,317088.77,317088.77,0.0,0,Current,Paid,2026-06-30
INV-2026-0033,CUST-010,Victoria Payments Pty,Digital Payments,2026-06-21,45,2026-08-05,321048.76,321048.76,0.0,0,Current,Paid,2026-06-30
