Period,Department,AccountCode,AccountName,AccountType,Scenario,ForecastSGD,DownsideSGD,UpsideSGD,DriverNote
2026-07,Retail Banking,4000,Interest Income,Revenue,Base,856938.47,796952.78,908354.78,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Retail Banking,4100,Fee and Commission Income,Revenue,Base,436072.85,405547.75,462237.22,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Retail Banking,4200,Transaction Revenue,Revenue,Base,266747.88,248075.53,282752.75,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Retail Banking,5000,Cost of Service Delivery,COGS,Base,-447226.36,-469587.68,-433809.57,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Retail Banking,6100,Marketing and Acquisition,Opex,Base,-141458.04,-148530.95,-137214.3,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Retail Banking,6200,Technology and Cloud,Opex,Base,-172473.67,-181097.36,-167299.46,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Retail Banking,6300,People Cost,Opex,Base,-369657.62,-388140.51,-358567.9,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Retail Banking,6400,Premises and Admin,Opex,Base,-79949.11,-83946.57,-77550.64,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Retail Banking,6500,Compliance and Risk,Opex,Base,-60947.43,-63994.8,-59119.01,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Retail Banking,7000,Credit Loss Provision,Provision,Base,-46838.74,-49180.68,-45433.58,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,SME Lending,4000,Interest Income,Revenue,Base,594188.27,552595.09,629839.57,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,SME Lending,4100,Fee and Commission Income,Revenue,Base,301417.18,280317.98,319502.21,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,SME Lending,4200,Transaction Revenue,Revenue,Base,182613.5,169830.55,193570.31,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,SME Lending,5000,Cost of Service Delivery,COGS,Base,-300195.78,-315205.57,-291189.9,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,SME Lending,6100,Marketing and Acquisition,Opex,Base,-94674.45,-99408.17,-91834.22,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,SME Lending,6200,Technology and Cloud,Opex,Base,-116915.59,-122761.37,-113408.13,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,SME Lending,6300,People Cost,Opex,Base,-261833.97,-274925.67,-253978.95,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,SME Lending,6400,Premises and Admin,Opex,Base,-53469.91,-56143.4,-51865.81,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,SME Lending,6500,Compliance and Risk,Opex,Base,-42941.07,-45088.12,-41652.84,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,SME Lending,7000,Credit Loss Provision,Provision,Base,-32181.52,-33790.6,-31216.07,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Enterprise,4000,Interest Income,Revenue,Base,1010163.13,939451.71,1070772.92,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Enterprise,4100,Fee and Commission Income,Revenue,Base,518649.93,482344.44,549768.93,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Enterprise,4200,Transaction Revenue,Revenue,Base,314277.55,292278.12,333134.2,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Enterprise,5000,Cost of Service Delivery,COGS,Base,-525290.2,-551554.71,-509531.49,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Enterprise,6100,Marketing and Acquisition,Opex,Base,-166229.38,-174540.85,-161242.5,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Enterprise,6200,Technology and Cloud,Opex,Base,-205068.71,-215322.14,-198916.64,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Enterprise,6300,People Cost,Opex,Base,-439173.77,-461132.46,-425998.56,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Enterprise,6400,Premises and Admin,Opex,Base,-92445.3,-97067.57,-89671.95,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Enterprise,6500,Compliance and Risk,Opex,Base,-74772.76,-78511.4,-72529.58,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Enterprise,7000,Credit Loss Provision,Provision,Base,-56058.29,-58861.21,-54376.54,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Digital Payments,4000,Interest Income,Revenue,Base,371086.79,345110.71,393351.99,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Digital Payments,4100,Fee and Commission Income,Revenue,Base,190677.74,177330.3,202118.4,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Digital Payments,4200,Transaction Revenue,Revenue,Base,115481.15,107397.47,122410.02,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Digital Payments,5000,Cost of Service Delivery,COGS,Base,-185823.22,-195114.39,-180248.53,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Digital Payments,6100,Marketing and Acquisition,Opex,Base,-61263.87,-64327.06,-59425.95,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Digital Payments,6200,Technology and Cloud,Opex,Base,-75196.84,-78956.68,-72940.93,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Digital Payments,6300,People Cost,Opex,Base,-165049.39,-173301.86,-160097.91,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Digital Payments,6400,Premises and Admin,Opex,Base,-34046.98,-35749.33,-33025.57,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Digital Payments,6500,Compliance and Risk,Opex,Base,-27597.94,-28977.83,-26770.0,H1 run-rate extended with 1.8% monthly growth assumption
2026-07,Digital Payments,7000,Credit Loss Provision,Provision,Base,-20689.52,-21724.0,-20068.84,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Retail Banking,4000,Interest Income,Revenue,Base,872090.62,811044.28,924416.06,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Retail Banking,4100,Fee and Commission Income,Revenue,Base,443783.37,412718.53,470410.37,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Retail Banking,4200,Transaction Revenue,Revenue,Base,271464.45,252461.93,287752.31,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Retail Banking,5000,Cost of Service Delivery,COGS,Base,-455134.1,-477890.8,-441480.07,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Retail Banking,6100,Marketing and Acquisition,Opex,Base,-143959.27,-151157.23,-139640.49,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Retail Banking,6200,Technology and Cloud,Opex,Base,-175523.31,-184299.47,-170257.61,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Retail Banking,6300,People Cost,Opex,Base,-376193.81,-395003.5,-364908.0,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Retail Banking,6400,Premises and Admin,Opex,Base,-81362.75,-85430.89,-78921.87,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Retail Banking,6500,Compliance and Risk,Opex,Base,-62025.09,-65126.34,-60164.34,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,Retail Banking,7000,Credit Loss Provision,Provision,Base,-47666.93,-50050.27,-46236.92,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,SME Lending,4000,Interest Income,Revenue,Base,604694.55,562365.93,640976.22,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,SME Lending,4100,Fee and Commission Income,Revenue,Base,306746.76,285274.49,325151.56,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,SME Lending,4200,Transaction Revenue,Revenue,Base,185842.42,172833.45,196992.96,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,SME Lending,5000,Cost of Service Delivery,COGS,Base,-305503.76,-320778.95,-296338.64,H1 run-rate extended with 1.8% monthly growth assumption
2026-08,SME Lending,6100,Marketing and Acquisition,Opex,Base,-96348.46,-101165.88,-93458.0,H1 run-rate extended with 1.8% monthly growth assumption
