BankTxnID,ValueDate,Description,CreditSGD,DebitSGD,Reference,MatchStatus
BNK-2026-00001,2026-06-30,RCPT Sydney Freight Co,719003.82,0.0,INV-2026-0004,
BNK-2026-00002,2026-06-30,RCPT Tampines Medical G,120618.6,0.0,INV-2026-0014,
BNK-2026-00003,2026-06-30,RCPT Victoria Payments ,612252.14,0.0,INV-2026-0019,
BNK-2026-00004,2026-06-30,RCPT Marina Bay Logisti,270735.55,0.0,,
BNK-2026-00005,2026-06-30,RCPT Victoria Payments ,289901.12,0.0,INV-2026-0023,
BNK-2026-00006,2026-06-30,RCPT Tampines Medical G,571736.47,0.0,INV-2026-0024,
BNK-2026-00007,2026-06-30,RCPT Orchard Lifestyle ,355535.81,0.0,INV-2026-0026,
BNK-2026-00008,2026-06-30,RCPT Victoria Payments ,361321.14,0.0,INV-2026-0027,
BNK-2026-00009,2026-06-30,RCPT Melaka Shipping,166254.45,0.0,INV-2026-0030,
BNK-2026-00010,2026-06-30,RCPT Harbourfront Retai,317088.77,0.0,INV-2026-0032,
BNK-2026-00011,2026-06-30,RCPT Victoria Payments ,321048.76,0.0,,
BNK-2026-00012,2026-06-20,BANK CHARGES,0.0,938.82,,
BNK-2026-00013,2026-06-28,FX ADJUSTMENT,0.0,271.42,,
BNK-2026-00014,2026-06-06,RETURNED PAYMENT,0.0,1421.44,,
BNK-2026-00015,2026-06-29,INTEREST CREDIT,2198.68,0.0,,
BNK-2026-00016,2026-06-27,UNIDENTIFIED RECEIPT,5351.44,0.0,,
BNK-2026-00017,2026-06-27,MERCHANT SETTLEMENT,7185.54,0.0,,
